libasan8	14.2.0-4ubuntu2~24.04
libasound2-data	1.2.11-1ubuntu0.1
libasound2t64	1.2.11-1ubuntu0.1
libaspell15	0.60.8.1-1build1
libass9	1:0.17.1-2build1
libassuan0	2.5.6-1build1
libasyncns0	0.8-6build4
libatasmart4	0.19-5build3
libatk-adaptor	2.52.0-1build1
libatk-bridge2.0-0t64	2.52.0-1build1
libatk-bridge2.0-dev	2.52.0-1build1
libatk-wrapper-java	0.40.0-3build2
libatk-wrapper-java-jni	0.40.0-3build2
libatk1.0-0t64	2.52.0-1build1
libatk1.0-dev	2.52.0-1build1
libatm1t64	1:2.5.1-5.1build1
libatomic1	14.2.0-4ubuntu2~24.04
libatopology2t64	1.2.11-1ubuntu0.1
libatspi2.0-0t64	2.52.0-1build1
libatspi2.0-dev	2.52.0-1build1
libattr1	1:2.5.2-1build1.1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1	1:3.1.2-2.1build1.1
libauthen-sasl-perl	2.1700-1
libavahi-client3	0.8-13ubuntu6
libavahi-common-data	0.8-13ubuntu6
libavahi-common3	0.8-13ubuntu6
libavahi-core7	0.8-13ubuntu6
libavahi-glib1	0.8-13ubuntu6
libavc1394-0	0.5.4-5build3
libavcodec-dev	7:6.1.1-3ubuntu5
libavcodec60	7:6.1.1-3ubuntu5
libavfilter9	7:6.1.1-3ubuntu5
libavformat-dev	7:6.1.1-3ubuntu5
libavformat60	7:6.1.1-3ubuntu5
libavif16	1.0.4-1ubuntu3
libavutil-dev	7:6.1.1-3ubuntu5
libavutil58	7:6.1.1-3ubuntu5
libayatana-appindicator3-1	0.5.93-1build3
libayatana-ido3-0.4-0	0.10.1-1build2
libayatana-indicator3-7	0.9.4-1build1
libbabeltrace1	1.5.11-3build3
libbasicobjects0t64	0.6.2-2.1build1
libbdplus0	0.2.0-3build1
libbinutils	2.42-4ubuntu2.6
libbit-vector-perl	7.4-3build1
libblas3	3.12.0-3build1.1
libblkid-dev	2.39.3-9ubuntu6.3
libblkid1	2.39.3-9ubuntu6.3
libblockdev-crypto3	3.1.1-1ubuntu0.1
libblockdev-fs3	3.1.1-1ubuntu0.1
libblockdev-loop3	3.1.1-1ubuntu0.1
libblockdev-mdraid3	3.1.1-1ubuntu0.1
libblockdev-nvme3	3.1.1-1ubuntu0.1
libblockdev-part3	3.1.1-1ubuntu0.1
libblockdev-swap3	3.1.1-1ubuntu0.1
libblockdev-utils3	3.1.1-1ubuntu0.1
libblockdev3	3.1.1-1ubuntu0.1
libblosc1	1.21.5+ds-1build1
libbluetooth3	5.72-0ubuntu5.5
libbluray2	1:1.3.4-1build1
libbpf1	1:1.3.0-2build2
libbpfcc	0.29.1+ds-1ubuntu7
libbrlapi0.8	6.6-4ubuntu5
libbrotli-dev	1.1.0-2build2
libbrotli1	1.1.0-2build2
libbs2b0	3.1.0+dfsg-7build1
libbsd0	0.12.1-1build1.1
libburn4t64	1.5.6-1.1build1
libbytesize-common	2.10-1ubuntu2
libbytesize1	2.10-1ubuntu2
libbz2-1.0	1.0.8-5.1build0.1
libbz2-dev	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.6
libc-dev-bin	2.39-0ubuntu8.6
libc-devtools	2.39-0ubuntu8.6
libc6	2.39-0ubuntu8.6
libc6-dbg	2.39-0ubuntu8.6
libc6-dev	2.39-0ubuntu8.6
libc6-dev-i386	2.39-0ubuntu8.6
libc6-dev-x32	2.39-0ubuntu8.6
libc6-i386	2.39-0ubuntu8.6
libc6-x32	2.39-0ubuntu8.6
libcaca0	0.99.beta20-4build2
libcairo-gobject-perl	1.005-4build3
libcairo-gobject2	1.18.0-3build1
libcairo-perl	1.109-4build1
libcairo-script-interpreter2	1.18.0-3build1
libcairo2	1.18.0-3build1
libcairo2-dev	1.18.0-3build1
libcairomm-1.16-1	1.18.0-1build1
libcamd3	1:7.6.1+dfsg-1build1
libcamel-1.2-64t64	3.52.3-0ubuntu1
libcanberra-gtk3-0t64	0.30-10ubuntu10
libcanberra-gtk3-module	0.30-10ubuntu10
libcanberra-pulse	0.30-10ubuntu10
libcanberra0t64	0.30-10ubuntu10
libcap-ng0	0.8.4-2build2
libcap2	1:2.66-5ubuntu2.2
libcap2-bin	1:2.66-5ubuntu2.2
libcares2	1.27.0-1.0ubuntu1
libcarp-clan-perl	6.08-2
libcbor0.10	0.10.2-1.2ubuntu2
libcc1-0	14.2.0-4ubuntu2~24.04
libccolamd3	1:7.6.1+dfsg-1build1
libcdio-cdda2t64	10.2+2.0.1-1.1build2
libcdio-paranoia2t64	10.2+2.0.1-1.1build2
libcdio19t64	2.1.0-4.1ubuntu1.2
libcdparanoia0	3.10.2+debian-14build3
libcfitsio10t64	4.3.1-1.1build2
libchafa0t64	1.14.0-1.1build1
libcharls2	2.4.2-2build2
libchewing3	0.6.0-1build1
libchewing3-data	0.6.0-1build1
libcholmod5	1:7.6.1+dfsg-1build1
libchromaprint1	1.5.1-5
libcjson1	1.7.17-1
libclang-cpp18	1:18.1.3-1ubuntu1
libclang1-18	1:18.1.3-1ubuntu1
libclone-perl	0.46-1build3
libcodec2-1.2	1.2.0-2build1
libcolamd3	1:7.6.1+dfsg-1build1
libcollection4t64	0.6.2-2.1build1
libcolord-gtk4-1t64	0.3.1-1build2
libcolord2	1.4.7-1build2
